question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,id,category,difficulty,overall_score
Đà Nẵng có những món ăn đặc sản nào ngon và nổi tiếng nhất?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Đà Nẵng nổi tiếng với nhiều món đặc sản đặc sắc như Mì Quảng (với nước dùng đậm đà, ăn kèm bánh tráng nướng), Bánh tráng thịt heo 2 đầu da (ăn kèm mắm nêm chuẩn vị), Bún chả cá Đà Nẵng, Bánh xèo - Nem lụi Bà Dưỡng, và Chè sầu Liên. Ngoài ra bạn có thể thưởng thức hải sản tươi sống dọc đường biển Võ Nguyên Giáp.",,,,,BENCH-001,Food,medium,
Món phở Hà Nội truyền thống gồm những nguyên liệu và hương vị gì đặc trưng?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Phở Hà Nội truyền thống gồm bánh phở tươi dẻo, nước dùng ninh từ xương ống bò nhiều giờ thơm nức mùi hoa hồi, thảo quả, quế, gừng nướng và hành nướng. Nhân phở gồm thịt bò tái hoặc chín, hành lá, ngò rí, khi ăn kèm dấm tỏi, ớt tươi và quẩy nóng giòn.",,,,,BENCH-002,Food,easy,
Những địa điểm du lịch nổi tiếng nhất ở Đà Lạt là gì?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Các điểm du lịch nổi tiếng ở Đà Lạt bao gồm Hồ Xuân Hương, Quảng trường Lâm Viên, Đỉnh Langbiang, Thung lũng Tình Yêu, Chợ đêm Đà Lạt, Vườn hoa Thành phố, Thác Datanla và Đồi đồi chè Cầu Đất.",,,,,BENCH-003,Destination,easy,
Nên đi du lịch Phú Quốc hay Nha Trang vào tháng 7?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Vào tháng 7, Nha Trang là lựa chọn lý tưởng hơn vì đây là mùa khô, thời tiết nắng đẹp, biển êm, nước trong xanh rất thích hợp tắm biển và lặn ngắm san hô. Trong khi đó, Phú Quốc vào tháng 7 bước vào mùa mưa bão (mùa mưa bắt đầu từ tháng 6 đến tháng 10), sóng biển có thể lớn hơn và có mưa rào bất chợt.",,,,,BENCH-004,Destination,hard,
Văn hóa Tây Nguyên có những nét đặc sắc nào nổi bật?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Văn hóa Tây Nguyên nổi bật với Không gian văn hóa Cồng chiêng Tây Nguyên (Kiệt tác di sản phi vật thể đại diện của nhân loại), kiến trúc Nhà Rông và Nhà Dài truyền thống, lễ hội Cầu Mùa, Lễ bỏ mả, văn hóa rượu cần và các trường ca thiêng hùng vĩ như Đăm San.",,,,,BENCH-005,Culture,medium,
Trang phục truyền thống của người H'Mông có đặc điểm gì?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Trang phục truyền thống của người H'Mông vô cùng sặc sỡ và tinh tế, được may thủ công từ vải chàm nhuộm mộc, thêu hoa văn thổ cẩm tỉ mỉ. Phụ nữ H'Mông mặc váy xòe xếp nếp, áo xẻ ngực, quấn xà cạp leg và đeo trang sức bạc độc đáo.",,,,,BENCH-006,Culture,easy,
Cố đô Huế có giá trị lịch sử và di sản kiến trúc gì quan trọng?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Cố đô Huế là kinh đô của Việt Nam dưới thời nhà Nguyễn (1802-1945). Quần thể di tích Cố đô Huế là Di sản Văn hóa Thế giới UNESCO đầu tiên của Việt Nam, nổi bật với Đại Nội (Hoàng Thành & Tử Cấm Thành), hệ thống lăng tàng các vị vua (Khải Định, Tự Đức, Minh Mạng) và Chùa Thiên Mụ cổ kính.",,,,,BENCH-007,History,medium,
Ý nghĩa lịch sử của Di tích Quốc gia Đặc biệt Địa đạo Củ Chi là gì?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Địa đạo Củ Chi là hệ thống phòng thủ ngầm kiên cố dài hơn 200km do quân và dân Củ Chi đào trong thời kỳ kháng chiến. Đây là biểu tượng hùng hình cho trí tuệ, lòng kiên cường và nghệ thuật chiến tranh nhân dân Việt Nam.",,,,,BENCH-008,History,hard,
Lễ hội Chùa Hương diễn ra vào thời gian nào và có những hoạt động gì?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Lễ hội Chùa Hương (Mỹ Đức, Hà Nội) khai hội từ ngày mùng 6 tháng Giêng và kéo dài đến hết tháng 3 âm lịch hàng năm. Hoạt động chính bao gồm đi thuyền trên dòng suối Yến, leo núi thăm động Hương Tích, dâng hương cầu an và thưởng ngoạn cảnh sông núi linh thiêng.",,,,,BENCH-009,Festival,medium,
Festival Hoa Đà Lạt được tổ chức khi nào và có những điểm gì hấp dẫn?,Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.,['Dừng lại để bảo vệ hệ thống: [Circuit Breaker] Đã đạt giới hạn lặp tối đa (5 lượt). Dừng Agent để cứu Token.. Hãy cung cấp thông tin mới hoặc thay đổi câu hỏi của bạn.'],"Festival Hoa Đà Lạt thường được tổ chức 2 năm một lần vào tháng 12 tại thành phố Đà Lạt. Lễ hội quy tụ hàng trăm loài hoa rực rỡ, các đường hoa nghệ thuật, diễu hành xe hoa, không gian trưng bày cây cảnh và đêm hội rượu vang hoa Đà Lạt.",,,,,BENCH-010,Festival,easy,
